country,type,year,amount
Hungary,Import,2016,13193.66
Hungary,Export,2016,9227.1
Hungary,Import,2017,18117.77
Hungary,Export,2017,6962.75
Hungary,Import,2018,15522.29
Hungary,Export,2018,8363.67
Hungary,Import,2019,18083.01
Hungary,Export,2019,8563.66
Hungary,Import,2020,24818.27
Hungary,Export,2020,8585.25
Hungary,Import,2021,19243.95
Hungary,Export,2021,9898.18
Hungary,Import,2022,23540.43
Hungary,Export,2022,10453.63
Hungary,Import,2023,28333.85
Hungary,Export,2023,9752.62
Ireland,Import,2013,908
Ireland,Export,2013,3932
Ireland,Import,2014,4739.9
Ireland,Export,2014,5946.07
Ireland,Import,2015,1546.5
Ireland,Export,2015,5822.4
Ireland,Import,2016,1203.89
Ireland,Export,2016,6077.07
Ireland,Import,2017,1496.35
Ireland,Export,2017,5359.24
Ireland,Import,2018,1537.62
Ireland,Export,2018,5714.24
Ireland,Import,2019,1856.46
Ireland,Export,2019,7432.49
Ireland,Import,2020,3965.43
Ireland,Export,2020,8275.93
Ireland,Import,2021,500.25
Ireland,Export,2021,9911
Ireland,Import,2022,9256.21
Ireland,Export,2022,10151.5
Ireland,Import,2023,6016.34
Ireland,Export,2023,9942.7
Italy,Import,2013,92156
Italy,Export,2013,6780
Italy,Import,2014,69763.2
Italy,Export,2014,16382.98
Italy,Import,2015,60584
Italy,Export,2015,23223.4
Italy,Import,2016,40949.12
Italy,Export,2016,24593.86
Italy,Import,2017,36618.63
Italy,Export,2017,14156.34
Italy,Import,2018,44851.08
Italy,Export,2018,17142.58
Italy,Import,2019,33876.59
Italy,Export,2019,20297.95
Italy,Import,2020,42233.76
Italy,Export,2020,15637.41
Italy,Import,2021,32782.59
Italy,Export,2021,16364.77
Italy,Import,2022,57856.37
Italy,Export,2022,13133.87
Italy,Import,2023,40045.27
Italy,Export,2023,18884.91
Latvia,Import,2013,9772
Latvia,Export,2013,12398
Latvia,Import,2014,9127.41
Latvia,Export,2014,13752.1
Latvia,Import,2015,7800.4
Latvia,Export,2015,15152.32
Latvia,Import,2016,4867.15
Latvia,Export,2016,18888.47
Latvia,Import,2017,6042.41
Latvia,Export,2017,20610.71
Latvia,Import,2018,8665.06
Latvia,Export,2018,18203.97
Latvia,Import,2019,12778.49
Latvia,Export,2019,21988.75
Latvia,Import,2020,10343.07
Latvia,Export,2020,21526.66
Latvia,Import,2021,11331.35
Latvia,Export,2021,23033.86
Latvia,Import,2022,19304.59
Latvia,Export,2022,36765.86
Latvia,Import,2023,21492.7
Latvia,Export,2023,32283.06
Lithuania,Import,2013,6589
Lithuania,Export,2013,12130
Lithuania,Import,2014,7578.2
Lithuania,Export,2014,12912.5
Lithuania,Import,2015,10238.8
Lithuania,Export,2015,16418.2
Lithuania,Import,2016,9332.99
Lithuania,Export,2016,8912.67
Lithuania,Import,2017,9854.67
Lithuania,Export,2017,8780.32
